,date,price,level,levels,rooms,area,kitchen_area,geo_lat,geo_lon,building_type,object_type,postal_code,street_id,id_region,house_id
183220,2021-01-14,8800000,12,13,2,55.0,9.57,59.849304,30.418447,0,2,192288.0,569976.0,78,2525346.0
1647553,2021-03-05,1800000,8,20,1,27.1,9.4,45.0875433,38.9026955,0,0,350053.0,296130.0,23,1826059.0
7406185,2021-08-30,2750000,4,5,2,43.0,6.6,54.9340122,73.3807121,0,0,644121.0,161938.0,55,2360774.0
7797662,2021-09-10,2500000,2,9,1,30.0,0.0,57.1284235,65.5888603,0,0,625013.0,,72,
10633531,2021-12-05,5000000,12,15,1,35.5,0.0,44.897347,37.356504,0,0,353445.0,123763.0,23,1873306.0
2988436,2021-04-13,8396137,14,15,1,25.32,2.8,55.4189931,37.4000407,0,2,108825.0,447780.0,77,983106.0
6196998,2021-07-26,1200000,4,4,2,59.0,0.0,55.0790507,21.8907494,0,0,238750.0,503537.0,39,1577317.0
10719938,2021-12-07,4550000,1,9,2,52.0,9.0,56.016285,92.873979,0,0,660049.0,,24,
8450384,2021-09-30,2700000,8,9,2,50.4,0.0,59.6776774,56.8006968,2,0,618546.0,277638.0,59,1722698.0
9929581,2021-11-14,5980000,2,4,3,68.3,8.0,51.8288323,107.5917116,0,0,670000.0,480622.0,3,2465898.0
2376443,2021-03-27,8957700,17,26,2,53.8,15.7,59.8513073,30.0216431,0,2,198515.0,300413.0,78,1369322.0
9104599,2021-10-19,5600000,9,14,1,40.0,8.4,60.0270046,30.2173419,0,0,197373.0,359204.0,78,1439313.0
6586026,2021-08-06,1693350,15,16,1,31.95,0.0,53.2419535,34.3652146,0,2,241000.0,,32,2520853.0
3277130,2021-04-22,14911200,5,11,2,78.0,17.1,59.938846,30.250105,0,0,199406.0,172995.0,78,1780424.0
9426183,2021-10-29,1650000,3,9,1,18.0,-100.0,55.8589952,49.2227884,0,0,420071.0,509490.0,16,2448686.0
10818625,2021-12-10,4700000,3,5,2,40.0,5.6,48.47688,135.05777,0,0,680000.0,,27,
10691452,2021-12-06,5737382,18,33,2,40.85,0.0,54.7371912,55.9716025,0,2,452000.0,547899.0,2,2227341.0
8251731,2021-09-24,2050000,4,5,2,44.0,6.0,51.839584,55.131774,0,0,460056.0,,56,
8287308,2021-09-25,4340000,3,16,3,56.5,0.0,57.1529744,65.5344099,0,2,625000.0,,72,900613.0
9371256,2021-10-28,2460000,23,25,1,31.8,9.7,57.973125,56.234116,3,2,614111.0,,59,
5938466,2021-07-17,2500000,1,5,2,44.0,4.5,56.1436515,47.2491758,4,0,428003.0,418990.0,21,870033.0
829607,2021-02-09,3700000,5,5,2,44.0,-100.0,53.05206,158.67445,2,0,683038.0,,41,
565220,2021-01-31,3980000,4,16,1,35.0,0.0,57.1758564,65.5660738,5,0,625022.0,311512.0,72,1079095.0
8329356,2021-09-27,2150000,4,5,1,33.5,6.3,56.0080155,92.9494662,0,0,660059.0,445312.0,24,1856374.0
8160413,2021-09-21,1950000,1,3,-1,32.0,-100.0,53.1663613,48.4784181,0,0,446026.0,439232.0,63,1990526.0
8398305,2021-09-29,3400000,2,9,2,42.0,9.0,55.9876169,92.8986291,0,0,660064.0,,24,
2049353,2021-03-18,1897400,2,16,1,35.8,0.0,45.100224,38.960563,3,0,350005.0,452233.0,23,1681493.0
18584,2021-01-03,2257840,13,25,1,43.0,16.0,53.2279278,50.2455834,3,2,,151294.0,63,630600.0
3042125,2021-04-15,2830000,9,9,3,49.0,7.0,57.6465175,39.9484473,2,0,150051.0,508367.0,76,823669.0
10012344,2021-11-16,4890000,9,18,2,45.0,-100.0,57.13815,65.597201,0,2,625013.0,,72,
9008573,2021-10-16,5043639,4,9,2,52.45,10.2,64.5541189,39.7870861,0,2,164512.0,137009.0,29,910923.0
9982771,2021-11-15,8000000,1,9,2,41.0,6.0,55.8859918,37.4454822,0,0,141402.0,,50,
4821534,2021-06-16,5050000,2,16,2,67.0,13.0,57.1003808,65.5669124,0,2,625033.0,,72,
10029742,2021-11-17,4176000,1,5,2,52.2,0.0,47.2078276,39.6220649,0,2,344016.0,,61,1950681.0
4525924,2021-06-05,2350000,9,9,3,59.4,8.6,55.634914,40.63672,0,0,601506.0,,33,
2678094,2021-04-04,6891780,15,15,2,53.8,19.6,55.5451253,37.5899183,0,2,142720.0,190264.0,50,676306.0
178960,2021-01-14,10900000,7,10,5,111.0,9.5,59.8304575,30.1928406,2,0,198261.0,479930.0,78,2709476.0
11159986,2021-12-21,1650000,4,9,-1,13.0,4.0,55.734642,49.1453579,0,0,420054.0,509080.0,16,2258616.0
5073321,2021-06-25,2400000,3,5,2,42.6,5.7,55.18577,36.67444,0,0,249004.0,,40,
5669328,2021-07-09,2200000,1,5,2,47.7,0.0,53.694951,91.671628,2,0,662606.0,,24,
11152754,2021-12-21,6500000,3,17,2,55.0,13.4,57.0972899,65.5874395,0,0,625046.0,,72,
7861607,2021-09-13,2050000,5,5,2,50.5,-100.0,54.50071,37.123463,0,0,301367.0,,71,
6608242,2021-08-07,1650000,5,5,2,28.0,-100.0,55.125668,61.471737,4,0,454119.0,,74,
11214482,2021-12-23,2900000,4,5,2,47.0,6.0,53.811641,87.215787,0,0,654055.0,,42,
5952062,2021-07-18,3000000,2,9,2,48.5,9.0,54.579821,36.2510952,2,0,248012.0,443989.0,40,1027905.0
6537504,2021-08-05,3500000,5,5,3,68.0,6.0,51.690024,39.259172,0,0,394063.0,,36,
10773174,2021-12-09,15000000,2,4,3,65.0,0.0,43.6097999,39.7439245,0,0,354000.0,313566.0,23,2276764.0
8256777,2021-09-24,2750000,6,22,1,36.9,-100.0,54.5266156,36.2634705,0,0,248010.0,551532.0,40,2292720.0
5325124,2021-07-01,5990000,7,19,3,67.9,0.0,57.1529744,65.5344099,0,2,625051.0,523895.0,72,2198562.0
2838134,2021-04-08,1730000,3,9,1,35.0,9.0,55.211399,61.300712,2,2,454076.0,126982.0,74,601661.0
2466253,2021-03-30,8100000,13,17,1,38.0,8.0,55.6681387,37.7791488,2,0,109559.0,411951.0,77,1582701.0
2552536,2021-03-31,4318000,3,25,1,42.0,18.0,56.838607,60.605514,3,2,,,66,1104878.0
4604911,2021-06-08,9344349,1,14,1,39.4,16.75,59.9825,30.322057,0,2,197342.0,257734.0,78,1881904.0
10303170,2021-11-24,6840000,14,22,3,71.8,11.9,54.9785343,82.9182458,0,2,630087.0,,54,
7349986,2021-08-28,4025600,15,15,2,54.4,0.0,55.1943551,61.338366,1,2,454100.0,,74,
7464200,2021-09-01,1880000,5,5,2,42.0,9.0,57.9109448,60.1353239,0,0,622052.0,502596.0,66,1394353.0
1650423,2021-03-05,5078750,3,5,2,59.75,11.6,55.6359115,37.9845022,4,2,140032.0,584864.0,50,1145698.0
9947846,2021-11-15,2300000,9,10,1,18.0,2.0,55.8726643,48.8787152,0,0,422527.0,586942.0,16,2077651.0
8708652,2021-10-07,5150000,9,9,5,110.0,16.0,42.9679084,47.4996984,0,0,367003.0,186976.0,5,2283352.0
802244,2021-02-08,3550000,13,16,-1,35.6,9.9,55.10593,82.946,0,0,630061.0,,54,
4134961,2021-05-22,3000000,2,5,4,74.0,11.6,43.1931305,44.520037,4,0,363026.0,221410.0,15,966114.0
5377722,2021-07-03,330000,1,1,1,28.9,0.0,56.2752484,90.4973308,0,0,662150.0,269386.0,24,1196813.0
6136319,2021-07-23,5650000,2,4,3,75.0,8.6,55.3600922,86.0771766,4,0,650000.0,201654.0,42,1259790.0
2648076,2021-04-03,14150000,8,17,2,79.0,18.0,55.572757,37.483104,0,0,108814.0,422903.0,77,1984347.0
8504407,2021-10-01,5380000,5,9,3,60.0,44.0,56.811847,60.623265,0,0,620142.0,183361.0,66,2282803.0
10655688,2021-12-06,7707600,7,8,-1,96.22,0.0,48.7070042,44.5170339,0,2,400000.0,,34,1738258.0
6886815,2021-08-16,10200000,7,25,2,63.2,10.5,55.91804,37.713944,0,0,141021.0,,50,
9596743,2021-11-03,9700000,9,9,2,73.4,20.0,55.0657698,82.9242758,0,0,630075.0,,54,
11166027,2021-12-21,8950000,14,16,1,40.5,12.1,59.8564732,30.2044636,0,0,198332.0,173314.0,78,2344165.0
2973045,2021-04-13,650000,5,5,2,21.9,0.0,58.1148033,56.3176618,4,0,614030.0,130278.0,59,1030587.0
3058177,2021-04-15,4370000,3,7,3,71.1,-100.0,50.79451,36.49767,0,0,309070.0,,31,
4067669,2021-05-20,8400000,1,5,3,70.0,0.0,44.59628,33.506873,0,0,299003.0,,92,
9280202,2021-10-25,2400000,4,9,1,40.0,9.0,56.1162974,93.3337916,2,0,662501.0,213954.0,24,2042944.0
4525295,2021-06-05,2965000,1,5,2,45.0,0.0,55.0296112,73.2902453,2,0,644050.0,136810.0,55,1989484.0
6939911,2021-08-17,16000000,3,9,4,63.3,6.0,55.8542109,37.4296363,0,0,125480.0,233476.0,77,750710.0
7129997,2021-08-23,2950000,10,16,-1,25.0,-100.0,59.939084,30.315879,0,2,190000.0,,78,1402094.0
6269194,2021-07-28,2715440,5,19,1,37.3,0.0,48.725257,44.512771,0,2,400012.0,,61,
11097351,2021-12-19,4200000,3,5,2,53.0,9.5,56.984146,40.972393,0,0,153022.0,,37,
10696153,2021-12-07,3940000,15,16,2,37.18,0.0,57.1529744,65.5344099,3,2,625041.0,491024.0,72,2722832.0
6392179,2021-07-31,7800000,1,10,3,129.1,-100.0,54.518319,36.256337,0,0,248030.0,,40,
7183720,2021-08-24,6500000,5,17,1,36.0,10.0,55.4566832,37.5798501,0,0,142101.0,300445.0,50,600583.0
4458343,2021-06-02,15000000,22,27,4,115.0,10.0,55.0359762,82.9561937,3,0,630017.0,418212.0,54,741297.0
3718080,2021-05-09,1950000,2,5,1,29.8,0.0,56.7956992,60.7747763,4,0,620007.0,574224.0,66,1265412.0
2920239,2021-04-11,2066470,17,17,1,37.1,0.0,51.6718941,39.3118555,0,2,396336.0,,36,2616504.0
9813325,2021-11-10,4100000,16,19,-1,32.0,8.0,55.7955318,49.2487153,0,0,420083.0,289262.0,16,792406.0
3093801,2021-04-17,4857600,4,16,-1,27.6,0.0,55.7540471,37.620405,0,2,108818.0,,77,599491.0
9361113,2021-10-27,22150000,2,4,3,55.0,8.0,55.7760715,37.6953937,0,0,105082.0,499705.0,77,2567811.0
6394508,2021-07-31,12199000,2,25,2,68.0,-100.0,60.0079314,30.2573972,0,0,197372.0,291085.0,78,2484205.0
7651689,2021-09-06,3150000,4,5,2,54.1,0.0,59.198624,39.869595,0,0,160022.0,,35,
7285318,2021-08-27,5300000,1,5,2,41.0,6.0,54.8392569,83.1050387,4,0,630090.0,484587.0,54,1951394.0
10862879,2021-12-12,6600000,4,4,1,48.0,12.0,43.5922637,39.7538696,0,0,354002.0,354627.0,23,1997419.0
6560080,2021-08-05,3400000,9,11,2,64.0,0.0,54.787759,32.084283,0,0,214020.0,,67,
6464087,2021-08-03,4100000,9,22,1,38.0,10.0,45.0032128,39.0799342,0,0,350065.0,523822.0,23,2198470.0
4140009,2021-05-22,3450000,8,10,1,40.0,9.3,56.8790373,35.8940279,3,0,170021.0,219339.0,69,958373.0
6563998,2021-08-05,2450000,2,5,3,63.0,-100.0,56.248981,90.465514,0,0,662153.0,,24,
10189704,2021-11-22,7000000,3,30,1,47.71,18.6,55.028191,82.9211489,0,2,630000.0,,54,856810.0
3613406,2021-05-04,3590000,2,10,2,67.0,0.0,55.1423128,61.393898,2,0,454048.0,581052.0,74,2404819.0
1557898,2021-03-01,9269360,10,33,1,43.6,19.5,55.721012,37.784103,0,2,109428.0,208652.0,77,697981.0
2271520,2021-03-24,14500000,7,11,3,119.8,0.0,56.01002,92.87948,0,0,660049.0,,24,
9366335,2021-10-27,2500000,9,9,1,35.0,8.0,56.6524523,124.7146664,0,0,678960.0,341488.0,14,1010199.0
2926737,2021-04-11,3700000,4,5,3,60.9,0.0,57.12462,65.51827,2,0,625032.0,174788.0,72,1090640.0
7132172,2021-08-23,2819736,6,10,1,38.12,15.0,54.2505913,37.6029026,0,2,300901.0,165661.0,71,2335195.0
3794202,2021-05-11,3496800,16,22,2,56.0,-100.0,47.24506,39.818562,3,2,,,61,
5039096,2021-06-24,1630000,2,5,1,33.0,7.6,55.8483958,48.4895191,2,0,422544.0,329902.0,16,2240088.0
325966,2021-01-21,1713600,9,22,-1,27.2,0.0,45.0855531,39.0446268,0,2,350073.0,,23,1467740.0
10952221,2021-12-14,15000000,1,2,1,30.0,6.0,43.4418944,39.9068849,0,0,354340.0,419384.0,23,949471.0
4254093,2021-05-26,1850000,3,4,2,42.0,5.0,55.4365,65.34379,4,0,640002.0,240216.0,45,1695978.0
4686551,2021-06-10,2400000,4,9,3,63.1,9.0,55.105686,33.23577,0,0,215500.0,,67,
10459188,2021-11-29,3850000,2,5,1,31.0,6.0,59.8410119,30.3443843,0,0,196158.0,434362.0,78,2092303.0
8288505,2021-09-25,5206725,18,21,2,36.0,6.2,55.7279065,37.9747316,0,2,143988.0,,50,
3383801,2021-04-26,4200000,11,17,2,55.5,10.0,45.056874,39.038644,3,0,350028.0,134296.0,23,731392.0
481151,2021-01-28,5300000,14,25,1,40.0,10.0,54.729782,55.929972,0,0,450076.0,,2,
2105043,2021-03-19,2300000,4,5,2,40.5,4.0,56.3686794,38.1436917,4,0,141364.0,,50,1991524.0
1627213,2021-03-04,10743752,2,14,2,51.27,0.0,59.985404,30.326522,0,2,197342.0,283714.0,78,1933888.0
6354419,2021-07-30,10990000,4,8,4,86.8,8.7,55.821371,37.247332,0,0,143443.0,528854.0,50,2204512.0
7487610,2021-09-01,3495000,6,10,2,56.0,9.0,56.153843,44.205736,0,0,607657.0,277761.0,52,823071.0
4286382,2021-05-27,2200000,10,17,1,24.3,0.0,55.988339,92.857333,1,0,660012.0,242403.0,24,1602614.0
11113869,2021-12-20,4200000,7,9,3,60.0,7.0,54.9310022,82.9049315,2,0,630106.0,528814.0,54,1924507.0
10933861,2021-12-14,2750000,1,9,1,39.0,8.1,60.9249587,76.6087294,0,0,628605.0,387393.0,86,1151185.0
6177962,2021-07-25,5900000,5,9,1,31.3,0.0,57.1604481,65.5561099,0,0,625002.0,,72,
6106351,2021-07-22,1599000,2,5,1,30.7,6.0,57.5821993,39.8324865,4,0,150046.0,301654.0,76,666752.0
8714110,2021-10-08,5500000,3,6,1,22.3,0.0,55.9584167,37.6810838,0,0,141032.0,458757.0,50,923738.0
8873394,2021-10-12,2800000,10,11,-1,27.0,0.0,54.734944,55.9578468,0,0,450074.0,424546.0,2,2095402.0
9479394,2021-10-31,31202456,23,26,4,110.7,33.4,55.7507122,37.7039204,0,2,111033.0,,77,
8245897,2021-09-24,6800000,1,3,3,56.0,6.0,56.0041617,37.4875674,0,0,141730.0,,50,
5266446,2021-06-30,7300000,4,4,4,78.9,6.4,56.3190549,44.00433,4,0,603000.0,280490.0,52,2474503.0
5394838,2021-07-03,4100000,1,3,1,38.0,-100.0,54.755119,20.544632,4,0,236029.0,,39,
10825392,2021-12-10,890000,4,5,1,30.0,5.0,52.5852483,32.7742123,0,0,243240.0,,32,
4584527,2021-06-07,3000000,1,3,1,30.3,6.0,55.7472038,49.1418023,4,0,420054.0,414583.0,16,1271845.0
1120231,2021-02-17,4200000,2,3,2,46.9,7.0,54.7277932,20.4904249,0,0,236022.0,315672.0,39,1387301.0
10552759,2021-12-02,8800000,5,5,4,76.0,8.0,55.6314728,37.1273999,0,0,143020.0,,50,2461340.0
5725325,2021-07-11,6447000,2,25,2,64.47,14.6,55.0628672,82.9039045,0,2,630082.0,184094.0,54,2814045.0
4947520,2021-06-20,6327900,33,33,-1,23.0,6.0,55.733865,37.7345223,3,2,109202.0,,77,
5200158,2021-06-29,6700000,1,9,3,61.0,6.2,60.0598878,30.3174498,0,0,194358.0,311055.0,78,1945737.0
10954879,2021-12-14,4700000,2,17,1,38.0,8.0,55.7225866,36.8722828,0,0,143180.0,506073.0,50,1173487.0
2913808,2021-04-11,4200000,8,9,1,49.5,8.8,44.9046771,34.0729182,5,0,295024.0,362698.0,91,2160371.0
5809680,2021-07-13,6900000,3,5,1,30.0,6.0,55.9383196,37.5122185,0,0,141701.0,,50,
9504586,2021-11-01,2160000,16,18,1,28.8,0.0,53.351338,83.720442,0,2,656039.0,,22,
6463679,2021-08-03,4882500,2,25,3,77.5,16.5,57.9703417,56.2711426,3,2,614025.0,438290.0,59,1645609.0
10283640,2021-11-24,5240000,14,16,3,62.0,-100.0,57.1529744,65.5344099,0,2,625041.0,491024.0,72,2722832.0
4154064,2021-05-23,4104000,9,9,1,38.3,0.0,55.7006271,37.1995347,0,2,143033.0,,50,2000994.0
1369460,2021-02-24,3371200,19,25,2,60.2,11.48,56.0093879,92.8524806,0,2,660000.0,,24,2212476.0
4685120,2021-06-10,1150000,2,5,4,75.0,9.6,52.5807454,78.9346715,4,0,658922.0,420763.0,22,2650588.0
3214522,2021-04-21,1960000,1,5,2,43.3,5.9,58.6252647,49.6362797,0,0,610006.0,,43,
9796956,2021-11-10,10500000,1,16,2,65.1,10.0,55.3951788,37.5642725,0,0,142108.0,356484.0,50,2815663.0
1461695,2021-02-27,3000000,6,10,2,57.0,0.0,58.238631,68.270794,4,0,626157.0,,72,1455825.0
860754,2021-02-09,6300000,5,9,1,32.6,6.7,55.8837058,37.4237032,4,0,141407.0,579109.0,50,1269616.0
1966346,2021-03-16,2300000,5,9,3,66.9,0.0,53.922983,37.9297134,0,0,301262.0,,71,
3867218,2021-05-13,2933000,15,23,2,51.0,16.5,48.6776301,44.4327138,3,2,400002.0,,34,
9480736,2021-10-31,1260000,5,5,1,30.0,6.0,55.2598137,61.3864078,0,0,454047.0,295196.0,74,2405984.0
7426994,2021-08-31,9900000,4,25,2,62.0,16.0,55.5478609,37.5902791,0,0,142720.0,556144.0,77,838528.0
11016584,2021-12-16,2750000,1,5,1,39.9,8.6,54.9542481,82.9629601,2,0,630066.0,,54,
11273820,2021-12-26,4950000,13,15,-1,30.0,-100.0,60.055812,30.431957,0,0,188678.0,380776.0,47,1760002.0
5897965,2021-07-16,7320000,2,3,1,35.0,0.0,43.450999,39.9991766,0,0,354396.0,131417.0,23,2440553.0
3362647,2021-04-26,2300000,2,2,1,32.1,5.0,56.360104,43.846123,0,0,603040.0,,52,
377327,2021-01-24,3200000,6,9,3,89.1,0.0,52.4866872,85.1538147,4,0,659322.0,399544.0,22,794427.0
356781,2021-01-22,1575000,1,5,2,46.0,6.0,54.81445,32.04817,4,0,214006.0,,67,
1866247,2021-03-12,15000000,3,5,1,42.0,0.0,59.936787,30.312643,0,0,191186.0,234531.0,78,1854275.0
2121654,2021-03-19,6500000,18,19,1,49.5,10.0,57.1676707,65.5591429,0,2,625005.0,,72,
9021640,2021-10-17,5720000,6,13,1,57.8,15.0,57.1097208,65.5724361,0,0,625051.0,451699.0,72,2672994.0
6394316,2021-07-31,4680000,1,20,2,65.0,17.0,54.6256999,39.730085,0,0,390000.0,235465.0,62,1855385.0
9394032,2021-10-28,3600000,9,24,1,36.7,16.0,57.1720118,65.4894817,1,2,625001.0,257470.0,72,1881528.0
4267498,2021-05-26,4243400,2,6,1,43.3,0.0,60.206801,29.683391,0,2,197720.0,,78,
1575087,2021-03-01,2750000,2,9,1,39.5,15.0,56.1228435,47.1885007,2,0,428038.0,,21,
6521806,2021-08-04,19300000,12,24,2,61.0,20.7,55.7540471,37.620405,0,2,101000.0,,77,1703143.0
6537062,2021-08-05,3699241,12,22,1,44.5,0.0,51.69669,39.197386,0,2,394024.0,461785.0,36,891264.0
8435938,2021-09-30,2900000,4,5,2,47.5,6.0,55.0263416,73.3655518,0,0,644034.0,,55,
4418816,2021-06-01,1950000,4,5,2,45.0,6.0,53.413607,83.935323,4,0,658080.0,166400.0,22,2716440.0
6802248,2021-08-12,2750000,1,10,1,32.7,9.0,54.98322,82.804756,2,0,630096.0,228734.0,54,1794789.0
3257952,2021-04-22,2200000,3,10,1,44.8,12.2,47.222488,38.837116,0,0,,,61,
6595682,2021-08-06,9600000,9,25,3,114.5,0.0,56.300425,43.978875,0,2,603022.0,583888.0,52,1029650.0
24184,2021-01-03,3200000,5,8,2,52.0,9.0,61.6727377,50.8111802,2,0,167031.0,180867.0,11,1652055.0
6684897,2021-08-09,2700000,2,12,-1,31.8,0.0,51.8335853,107.5842223,0,0,670033.0,,3,1310652.0
901101,2021-02-11,7700000,2,12,2,57.0,0.0,43.6194279,39.7544969,0,0,354003.0,427897.0,23,1720841.0
2020100,2021-03-17,5280129,6,15,2,46.07,5.8,55.5639247,37.8255637,0,2,,,50,2266087.0
744123,2021-02-06,1650000,3,5,2,40.0,0.0,53.9685806,38.2850764,2,0,301767.0,516657.0,71,1304118.0
5914077,2021-07-16,8100000,4,25,3,122.0,0.0,57.135027,65.563237,3,0,625026.0,569317.0,72,822330.0
202890,2021-01-15,5299000,1,2,3,66.0,10.0,44.612863,33.514275,0,0,299011.0,,92,
3770944,2021-05-11,6850000,16,17,1,34.0,7.9,55.7033886,37.9437521,0,0,111674.0,383257.0,77,1246161.0
1856611,2021-03-12,4200000,9,9,3,86.4,0.0,56.103151,94.582583,0,0,663694.0,,24,
6919701,2021-08-16,8180000,6,15,2,44.0,20.3,59.906797,30.433844,0,0,193091.0,265751.0,78,958779.0
5375132,2021-07-03,14700000,14,18,4,150.0,0.0,56.8268369,60.5795348,3,0,620102.0,585303.0,66,2565787.0
10850255,2021-12-11,10500000,10,14,2,58.0,5.0,54.1807793,37.6018567,0,0,300012.0,,71,
7693499,2021-09-07,2467500,20,25,1,32.9,15.6,56.8385216,60.6054911,0,2,620007.0,,66,862043.0
8687999,2021-10-07,3450000,2,5,3,56.6,6.2,56.8832518,60.5641584,5,0,620039.0,277804.0,66,607375.0
3559020,2021-05-02,1250000,1,6,1,36.0,11.0,56.2946941,39.3824132,4,0,601785.0,171966.0,33,2019320.0
1218472,2021-02-19,1850000,2,4,1,35.0,9.5,45.081783,39.003619,0,0,350024.0,348755.0,23,2648322.0
359251,2021-01-23,960000,1,2,1,36.1,7.1,57.1454488,66.2948328,0,0,625514.0,529723.0,72,1096537.0
5988190,2021-07-19,2641600,8,14,1,25.0,-100.0,56.787075,60.500106,0,2,620105.0,119493.0,66,2280003.0
3396416,2021-04-27,2690400,16,16,1,35.0,-100.0,45.098621,38.950924,3,2,,452233.0,23,1549990.0
6247570,2021-07-27,730000,4,5,1,36.0,9.0,54.0890651,61.5650204,4,0,457100.0,287083.0,74,1303200.0
8460344,2021-09-30,2890000,11,26,2,58.0,0.0,55.1744149,61.3374005,1,2,454136.0,132763.0,74,2566203.0
500808,2021-01-29,3900000,10,18,1,33.0,13.0,56.275864,44.049698,5,0,603136.0,,52,
2216899,2021-03-23,6500000,2,17,2,53.72,10.0,55.4220381,37.4940489,2,0,142118.0,253475.0,50,2140656.0
695427,2021-02-04,3000000,8,17,1,40.9,0.0,56.02115,92.736824,0,2,,166474.0,24,1209973.0
8952345,2021-10-14,4000000,5,5,2,45.3,0.0,56.01275,92.84633,0,0,660021.0,,24,
2862358,2021-04-09,2070000,8,25,1,30.0,0.0,47.1978659,39.6301175,1,0,344033.0,417994.0,61,1872657.0
9880031,2021-11-12,3499000,1,5,2,45.0,6.0,56.8194414,60.5866094,2,0,620086.0,536386.0,66,989379.0
8515299,2021-10-02,865000,3,5,1,38.0,-100.0,43.0177086,47.4096529,0,2,367905.0,,5,2018299.0
6975114,2021-08-18,10200000,3,10,2,52.0,8.3,59.9901131,30.2077686,0,0,197374.0,166392.0,78,1772558.0
4489641,2021-06-03,1550000,5,5,1,33.0,0.0,69.3484384,88.1979077,0,0,663302.0,,24,
803016,2021-02-08,4500000,1,5,2,46.0,8.0,44.5496741,38.0740332,0,0,353475.0,463074.0,23,2477599.0
